,Gesamt,Statistik,Detail_Statistik,Grundbuch,Detail_Grundbuch,Unternehmenseigentümer,Detail_Unternehmenseigentümer
DE,4,3,2011,4,Berechtigtes Interesse,4,"Kosten, kein Beneficial Owners (wirtschaftlich Berechtigte)"
AT,2,3,2011,2,Kosten,2,Kosten
B,4,0,0,3,Kosten,4,"Kosten, Beneficial Owners (wirtschaftlich Berechtigte) nicht offen"
CZ,2,4,2011,1,Offen,1,Open data
DK,1,1,2021,1,Offen,1,Open data
F,2,0,0,1,Offene Daten (legal entities),1,"Kosten, Beneficial Owners (wirtschaftlich Berechtigte) offene Daten"
GR,4,0,0,4,Berechtigtes Interesse,3,"Offen, Beneficial Owners (wirtschaftlich Berechtigte) nicht offen"
IRE,2,2,2016,2,Kosten,3,"Kosten, Beneficial Owners (wirtschaftlich Berechtigte) offen"
NL,4,4,2018,2,Kosten,5,"na, kein TR"
NO,2,2,2021,2,Offen,2,"Offen, kein Beneficial Owners (wirtschaftlich Berechtigte)"
ES,4,5,0,2,Kosten,5,"Kosten, kein Beneficial Owners (wirtschaftlich Berechtigte)"
CH,3,1,2020,2,Offen,5,"na, kein Beneficial Owners (wirtschaftlich Berechtigte)"
UK,1,2,2019,1,Offene Daten,1,Offene Daten
